BJDtdb1 BJDtdb2 ZB
2458704 0.893019326356448 0.0000776967875106838
2458704 0.893922396649257 0.0000776886993780757
2458704 0.89484846866403 0.0000776804061868308
2458704 0.895763539499964 0.000077672212710711
2458704 0.896677610941654 0.0000776640296220599
2458707 0.840780201026745 0.0000758321899143599
2458707 0.841752274695621 0.0000758236920672672
2458707 0.842678344983492 0.0000758155847921937
2458707 0.843570412427009 0.0000758077647424749
2458707 0.844507483384986 0.0000757995393840805
2458707 0.845456555336292 0.0000757911976709824
2458707 0.846394626594995 0.0000757829420185985
2458707 0.84734369853054 0.0000757745790709308
2458707 0.84831577214338 0.0000757660027927987
2458707 0.849299846748513 0.00007575730995657
2458707 0.850259919344025 0.0000757488190801237
2458710 0.904722756189966 0.0000727475357862328
2458710 0.905776832984905 0.0000727381282645823
2458710 0.906725902030882 0.0000727296675475664
2458710 0.907639968489424 0.0000727215277542825
2458710 0.908531033325503 0.0000727136014195828
2458710 0.909446100082551 0.0000727054706830543
2458737 0.791686564541977 0.0000433412398084254
2458737 0.792901617382632 0.0000433296478352663
2458737 0.794105669415944 0.0000433181562842222
2458737 0.795285720678647 0.0000433068899738931
2458737 0.796489772684555 0.0000432953911793099
2458737 0.797681824531345 0.0000432840042186022
2458737 0.79887387589888 0.0000432726150625395
